"Name","Live Bytes","Live Objects"
"byte[]","23,110,056 B (10.2%)","621,946 (11.5%)"
"java.lang.Object[]","25,741,056 B (11.4%)","412,644 (7.6%)"
"char[]","34,006,552 B (15%)","352,968 (6.5%)"
"java.util.concurrent.LinkedBlockingQueue$Node","6,709,920 B (3%)","279,580 (5.2%)"
"java.lang.String","6,166,896 B (2.7%)","256,954 (4.7%)"
"java.util.ArrayList","4,544,112 B (2%)","189,338 (3.5%)"
"java.util.LinkedList$Node","4,044,768 B (1.8%)","168,532 (3.1%)"
"java.util.HashMap$Node","4,926,240 B (2.2%)","153,945 (2.8%)"
"java.util.concurrent.locks.AbstractQueuedSynchronizer$Node","4,805,984 B (2.1%)","150,187 (2.8%)"
"com.tvd12.ezyfox.entity.EzyArrayList","4,143,648 B (1.8%)","129,489 (2.4%)"
"java.util.concurrent.ConcurrentHashMap$Node","3,790,144 B (1.7%)","118,442 (2.2%)"
"com.tvd12.ezyfox.codec.EzySimpleMessageHeader","2,740,512 B (1.2%)","114,188 (2.1%)"
"java.nio.HeapByteBuffer","5,367,888 B (2.4%)","111,831 (2.1%)"
"com.tvd12.ezyfoxserver.entity.EzySession[]","2,683,680 B (1.2%)","111,820 (2.1%)"
"com.tvd12.ezyfox.codec.EzySimpleMessage","3,578,176 B (1.6%)","111,818 (2.1%)"
"java.io.ObjectStreamClass$WeakClassKey","3,514,784 B (1.6%)","109,837 (2%)"
"java.util.TreeMap$Entry","4,282,920 B (1.9%)","107,073 (2%)"
"java.util.ArrayList$Itr","2,906,976 B (1.3%)","90,843 (1.7%)"
"java.lang.Integer","1,355,872 B (0.6%)","84,742 (1.6%)"
"byte[][]","1,990,056 B (0.9%)","76,108 (1.4%)"
"java.util.HashMap$Node[]","5,147,296 B (2.3%)","62,613 (1.2%)"
"java.lang.Long","1,474,152 B (0.7%)","61,423 (1.1%)"
"java.util.HashMap$Values","903,184 B (0.4%)","56,449 (1%)"
"java.util.Arrays$ArrayList","1,342,392 B (0.6%)","55,933 (1%)"
"com.tvd12.ezyfoxserver.nio.socket.EzySocketDataReceiver$$Lambda$246.313711653","1,341,864 B (0.6%)","55,911 (1%)"
"com.tvd12.ezyfoxserver.socket.EzySimplePacket","1,341,840 B (0.6%)","55,910 (1%)"
"com.tvd12.ezyfoxserver.nio.handler.EzyAbstractHandlerGroup$$Lambda$399.1981140846","1,341,840 B (0.6%)","55,910 (1%)"
"com.tvd12.ezyfox.util.EzyHashMapList","2,683,680 B (1.2%)","55,910 (1%)"
"com.tvd12.ezyfoxserver.socket.EzySimplePackage","1,789,120 B (0.8%)","55,910 (1%)"
"com.tvd12.ezyfoxserver.socket.EzySimpleSocketRequest","1,789,056 B (0.8%)","55,908 (1%)"
"com.tvd12.ezyfoxserver.nio.handler.EzyAbstractHandlerGroup$$Lambda$398.1179739800","1,341,792 B (0.6%)","55,908 (1%)"
"com.tvd12.ezyfoxserver.statistics.EzyRequestFrameSecond","2,130,200 B (0.9%)","53,255 (1%)"
"java.lang.StringBuilder","1,176,480 B (0.5%)","49,020 (0.9%)"
"com.tvd12.ezyfoxserver.request.EzySimplePingRequest","1,160,064 B (0.5%)","48,336 (0.9%)"
"java.lang.String[]","2,266,344 B (1%)","44,472 (0.8%)"
"java.lang.Object","700,656 B (0.3%)","43,791 (0.8%)"
"int[]","18,115,728 B (8%)","41,271 (0.8%)"
"java.util.concurrent.ConcurrentHashMap","2,215,296 B (1%)","34,614 (0.6%)"
"java.util.HashMap","1,506,720 B (0.7%)","31,390 (0.6%)"
"java.util.TreeMap$KeyIterator","828,832 B (0.4%)","25,901 (0.5%)"
